,Job Title,Annual Salary,Experience,Education,Position,Is Remote,Company Size Scale,Company Old,Revenue Scale,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance
620,Data Scientist,99000.0,4,BACHELOR,SENIOR,1,5,24,7,3.1,3.2,3.0,3.4,2.8,3.4
621,Data Science Associate,97500.0,1,BACHELOR,JUNIOR,0,1,8,-1,4.4,4.5,4.6,4.1,4.1,4.6
623,Data Engineer,108505.0,8,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
627,Sr. Data Visualization Engineer (Remote),144867.0,12,BACHELOR,SENIOR,0,5,62,7,3.5,3.5,3.4,3.7,3.4,3.4
628,Sr Data Science Engineer,110906.0,5,BACHELOR,SENIOR,0,7,55,9,3.3,3.5,3.2,3.3,3.0,3.2
631,Data Quality Analyst,82357.0,8,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
632,Junior AI Engineer,87503.0,1,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
634,Data Scientist,107500.0,3,BACHELOR,JUNIOR,1,1,-1,-1,-1,-1,-1,-1,-1,-1
641,Data Scientist,115535.0,5,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
644,Senior Data Engineer,130000.0,4,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
648,Sr Data Science Engineer,110906.0,5,BACHELOR,SENIOR,0,7,55,9,3.3,3.5,3.2,3.3,3.0,3.2
650,Data Scientist,99000.0,4,BACHELOR,SENIOR,1,5,24,7,3.1,3.2,3.0,3.4,2.8,3.4
657,Sr. Data Visualization Engineer (Remote),144867.0,12,BACHELOR,SENIOR,0,5,62,7,3.5,3.5,3.4,3.7,3.4,3.4
660,Data Quality Analyst,82357.0,8,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
661,Junior AI Engineer,87503.0,1,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
663,Senior Data Engineer,130000.0,4,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
667,Data Science Associate,97500.0,1,BACHELOR,JUNIOR,0,1,8,-1,4.4,4.5,4.6,4.1,4.1,4.6
668,Data Analyst – NLP Data Science (BHJOB22048_676),87395.0,4,BACHELOR,SENIOR,0,1,13,2,4.5,4.0,4.2,4.3,4.3,4.3
670,Manager Data Analytics,113427.0,5,BACHELOR,SENIOR,0,7,26,7,3.8,3.9,3.9,3.7,3.4,3.7
678,Senior Data Scientist,104000.0,7,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
682,Data Analytics Analyst,81869.0,3,BACHELOR,SENIOR,0,7,26,7,3.8,3.9,3.9,3.7,3.4,3.7
686,Data Scientist,107500.0,3,BACHELOR,JUNIOR,1,1,-1,-1,-1,-1,-1,-1,-1,-1
687,Sr Data Science Engineer,110906.0,5,BACHELOR,SENIOR,0,7,55,9,3.3,3.5,3.2,3.3,3.0,3.2
688,MLOps/Machine Learning Engineer,150800.0,10,BACHELOR,SENIOR,1,3,14,3,4.7,4.4,4.3,4.6,4.4,4.5
689,Data Scientist,115535.0,5,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
690,Data Quality Analyst,82357.0,8,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
691,Junior AI Engineer,87503.0,1,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
694,Data Scientist,115535.0,5,BACHELOR,SENIOR,0,5,17,6,4.2,4.0,3.9,4.0,3.9,4.2
703,Senior Data Engineer,130000.0,4,BACHELOR,SENIOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
705,Data Scientist,107500.0,3,BACHELOR,JUNIOR,1,1,-1,-1,-1,-1,-1,-1,-1,-1
